PathParameter	MaxPathLikelihood	MLContribution
0.0000	-20477	-0.0044220
2.1544e-07	-20472	-0.040151
2.1715e-06	-20479	-0.12763
8.3895e-06	-20478	-0.27706
2.1888e-05	-20474	-0.49593
4.6050e-05	-20474	-0.79045
8.4561e-05	-20466	-1.1659
0.00014136	-20483	-1.6267
0.00022061	-20471	-2.1773
0.00032669	-20479	-2.8215
0.00046416	-20469	-3.5627
0.00063774	-20472	-4.4045
0.00085232	-20478	-5.3495
0.0011130	-20469	-6.4014
0.0014248	-20481	-7.5619
0.0017932	-20478	-8.8345
0.0022237	-20479	-10.222
0.0027216	-20483	-11.724
0.0032929	-20471	-13.347
0.0039432	-20479	-15.091
0.0046784	-20461	-16.958
0.0055047	-20465	-18.951
0.0064280	-20475	-21.070
0.0074546	-20467	-23.320
0.0085909	-20471	-25.701
0.0098431	-20474	-28.215
0.011218	-20459	-30.863
0.012722	-20468	-33.649
0.014361	-20460	-36.572
0.016143	-20463	-39.636
0.018075	-20461	-42.841
0.020162	-20463	-46.187
0.022413	-20478	-49.677
0.024834	-20478	-53.318
0.027432	-20470	-57.104
0.030215	-20465	-61.039
0.033190	-20451	-65.125
0.036364	-20455	-69.358
0.039745	-20466	-73.749
0.043339	-20455	-78.295
0.047156	-20459	-82.989
0.051201	-20461	-87.846
0.055484	-20456	-92.864
0.060011	-20458	-98.038
0.064790	-20453	-103.37
0.069830	-20455	-108.86
0.075138	-20455	-114.52
0.080722	-20446	-120.34
0.086591	-20445	-126.32
0.092751	-20435	-132.48
0.099213	-20443	-138.80
0.10598	-20430	-145.25
0.11307	-20425	-151.92
0.12048	-20409	-158.72
0.12823	-20437	-165.74
0.13631	-20417	-172.87
0.14475	-20421	-180.21
0.15355	-20422	-187.72
0.16271	-20401	-195.40
0.17226	-20382	-203.27
0.18218	-20407	-211.24
0.19250	-20397	-219.34
0.20322	-20401	-227.72
0.21436	-20386	-236.23
0.22591	-20379	-244.98
0.23789	-20366	-253.78
0.25031	-20363	-262.85
0.26318	-20362	-272.09
0.27650	-20350	-281.44
0.29029	-20345	-291.08
0.30455	-20323	-300.81
0.31930	-20334	-310.76
0.33454	-20318	-320.85
0.35028	-20330	-331.24
0.36653	-20328	-341.71
0.38330	-20327	-352.34
0.40060	-20313	-363.30
0.41844	-20311	-374.26
0.43683	-20313	-385.61
0.45578	-20310	-397.07
0.47530	-20304	-408.64
0.49539	-20309	-420.57
0.51608	-20308	-432.61
0.53735	-20306	-444.90
0.55924	-20308	-457.40
0.58174	-20304	-470.14
0.60487	-20304	-482.93
0.62863	-20303	-496.05
0.65304	-20299	-509.35
0.67811	-20304	-522.88
0.70384	-20296	-536.57
0.73025	-20301	-550.44
0.75734	-20299	-564.54
0.78513	-20297	-578.88
0.81363	-20296	-593.39
0.84284	-20295	-608.11
0.87278	-20283	-623.03
0.90345	-20296	-638.20
0.93488	-20291	-653.54
0.96705	-20291	-669.08
1.0000	-20289	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20375.149480090317
