PathParameter	MaxPathLikelihood	MLContribution
0.0000	-40455	-0.0088403
2.1544e-07	-40392	-0.080173
2.1715e-06	-40382	-0.25500
8.3895e-06	-40391	-0.55379
2.1888e-05	-40430	-0.99146
4.6050e-05	-40449	-1.5798
8.4561e-05	-40424	-2.3287
0.00014136	-40469	-3.2503
0.00022061	-40363	-4.3456
0.00032669	-40424	-5.6387
0.00046416	-40316	-7.1141
0.00063774	-40446	-8.7911
0.00085232	-40265	-10.678
0.0011130	-40353	-12.760
0.0014248	-40347	-15.071
0.0017932	-40308	-17.607
0.0022237	-40375	-20.362
0.0027216	-40253	-23.351
0.0032929	-40305	-26.570
0.0039432	-40253	-29.988
0.0046784	-40218	-33.711
0.0055047	-40330	-37.652
0.0064280	-40125	-41.853
0.0074546	-40209	-46.262
0.0085909	-40129	-50.937
0.0098431	-40049	-55.876
0.011218	-40052	-61.027
0.012722	-40105	-66.501
0.014361	-39885	-72.195
0.016143	-39848	-78.063
0.018075	-39946	-84.377
0.020162	-39660	-90.584
0.022413	-39743	-97.429
0.024834	-39466	-104.14
0.027432	-39450	-111.35
0.030215	-39324	-118.47
0.033190	-39296	-126.28
0.036364	-39130	-134.18
0.039745	-38741	-141.04
0.043339	-38697	-149.62
0.047156	-38334	-156.73
0.051201	-38107	-165.42
0.055484	-37852	-173.72
0.060011	-37625	-182.45
0.064790	-37389	-191.27
0.069830	-37090	-199.60
0.075138	-36772	-207.74
0.080722	-36734	-217.80
0.086591	-36455	-227.03
0.092751	-36280	-237.00
0.099213	-35811	-244.66
0.10598	-35390	-252.86
0.11307	-35166	-262.84
0.12048	-35090	-273.57
0.12823	-34789	-284.61
0.13631	-34528	-294.10
0.14475	-34266	-304.55
0.15355	-34211	-316.45
0.16271	-34038	-327.48
0.17226	-33809	-337.92
0.18218	-33591	-349.14
0.19250	-33564	-362.71
0.20322	-33480	-374.78
0.21436	-33307	-387.77
0.22591	-33331	-401.43
0.23789	-33137	-414.06
0.25031	-33197	-428.77
0.26318	-33115	-442.88
0.27650	-33030	-457.76
0.29029	-32969	-472.44
0.30455	-32975	-487.98
0.31930	-32945	-503.67
0.33454	-32913	-519.64
0.35028	-32861	-535.70
0.36653	-32821	-552.33
0.38330	-32808	-569.07
0.40060	-32766	-586.18
0.41844	-32777	-604.25
0.43683	-32746	-622.04
0.45578	-32701	-639.90
0.47530	-32708	-658.77
0.49539	-32706	-677.84
0.51608	-32682	-696.98
0.53735	-32660	-716.12
0.55924	-32650	-735.94
0.58174	-32640	-756.20
0.60487	-32631	-776.59
0.62863	-32635	-797.68
0.65304	-32620	-818.85
0.67811	-32616	-840.39
0.70384	-32606	-862.06
0.73025	-32605	-884.43
0.75734	-32585	-906.91
0.78513	-32584	-929.69
0.81363	-32586	-952.88
0.84284	-32580	-976.50
0.87278	-32565	-1000.2
0.90345	-32558	-1024.3
0.93488	-32576	-1049.2
0.96705	-32554	-1073.9
1.0000	-32545	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -33598.59327585249
