PathParameter	MaxPathLikelihood	MLContribution
0.0000	-40654	-0.0089960
2.1544e-07	-40517	-0.081547
2.1715e-06	-40606	-0.25950
8.3895e-06	-40539	-0.56254
2.1888e-05	-40553	-1.0073
4.6050e-05	-40532	-1.6037
8.4561e-05	-40601	-2.3642
0.00014136	-40633	-3.2990
0.00022061	-40642	-4.4043
0.00032669	-40535	-5.7122
0.00046416	-40521	-7.2027
0.00063774	-40459	-8.8950
0.00085232	-40447	-10.790
0.0011130	-40606	-12.908
0.0014248	-40433	-15.217
0.0017932	-40464	-17.758
0.0022237	-40430	-20.539
0.0027216	-40197	-23.502
0.0032929	-40132	-26.721
0.0039432	-40316	-30.177
0.0046784	-40323	-33.878
0.0055047	-40277	-37.828
0.0064280	-40305	-41.995
0.0074546	-40131	-46.404
0.0085909	-40142	-51.015
0.0098431	-40105	-55.951
0.011218	-40031	-61.141
0.012722	-40054	-66.497
0.014361	-39850	-72.106
0.016143	-39848	-78.087
0.018075	-39874	-84.251
0.020162	-39793	-90.694
0.022413	-39647	-97.264
0.024834	-39734	-104.34
0.027432	-39293	-111.19
0.030215	-39331	-118.52
0.033190	-39286	-126.35
0.036364	-38894	-133.76
0.039745	-38745	-141.34
0.043339	-38701	-150.19
0.047156	-38617	-158.24
0.051201	-38080	-165.59
0.055484	-38409	-175.87
0.060011	-38085	-184.33
0.064790	-37773	-192.82
0.069830	-37190	-200.20
0.075138	-37237	-210.02
0.080722	-36866	-218.79
0.086591	-36779	-228.59
0.092751	-36467	-237.53
0.099213	-35791	-245.70
0.10598	-35771	-255.90
0.11307	-35400	-264.94
0.12048	-35156	-274.50
0.12823	-34541	-282.77
0.13631	-34762	-295.25
0.14475	-34548	-306.24
0.15355	-34212	-316.21
0.16271	-34039	-326.40
0.17226	-34055	-339.80
0.18218	-33778	-351.49
0.19250	-33558	-361.80
0.20322	-33477	-375.32
0.21436	-33270	-386.70
0.22591	-33264	-400.69
0.23789	-33230	-414.81
0.25031	-33140	-428.76
0.26318	-33161	-443.88
0.27650	-33016	-457.37
0.29029	-32983	-472.28
0.30455	-32926	-487.21
0.31930	-32886	-503.14
0.33454	-32871	-519.09
0.35028	-32830	-535.37
0.36653	-32763	-551.28
0.38330	-32778	-568.69
0.40060	-32749	-585.81
0.41844	-32707	-603.46
0.43683	-32664	-620.55
0.45578	-32599	-638.25
0.47530	-32622	-657.37
0.49539	-32548	-675.23
0.51608	-32572	-694.55
0.53735	-32539	-713.73
0.55924	-32541	-733.47
0.58174	-32537	-753.84
0.60487	-32507	-773.86
0.62863	-32522	-795.16
0.65304	-32484	-815.73
0.67811	-32460	-837.22
0.70384	-32467	-858.94
0.73025	-32451	-880.80
0.75734	-32448	-903.11
0.78513	-32454	-925.91
0.81363	-32432	-948.51
0.84284	-32410	-971.67
0.87278	-32403	-995.48
0.90345	-32382	-1019.2
0.93488	-32385	-1043.7
0.96705	-32383	-1068.4
1.0000	-32381	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -33547.271484942954
