PathParameter	MaxPathLikelihood	MLContribution
0.0000	-42383	-0.0097071
2.1544e-07	-42279	-0.088371
2.1715e-06	-42684	-0.27895
8.3895e-06	-42264	-0.60274
2.1888e-05	-42549	-1.0812
4.6050e-05	-42450	-1.7223
8.4561e-05	-42640	-2.5339
0.00014136	-42410	-3.5164
0.00022061	-42152	-4.7156
0.00032669	-42344	-6.1035
0.00046416	-42461	-7.6703
0.00063774	-42450	-9.4527
0.00085232	-42473	-11.455
0.0011130	-41963	-13.597
0.0014248	-42183	-16.069
0.0017932	-42127	-18.748
0.0022237	-42045	-21.616
0.0027216	-42157	-24.748
0.0032929	-41734	-28.012
0.0039432	-41824	-31.519
0.0046784	-41910	-35.391
0.0055047	-41621	-39.352
0.0064280	-41507	-43.676
0.0074546	-41443	-48.175
0.0085909	-41339	-52.934
0.0098431	-41216	-57.994
0.011218	-41160	-63.143
0.012722	-41088	-68.662
0.014361	-41011	-74.311
0.016143	-40975	-80.322
0.018075	-40704	-86.508
0.020162	-40651	-92.933
0.022413	-40509	-99.518
0.024834	-40040	-106.25
0.027432	-40251	-113.88
0.030215	-40005	-120.76
0.033190	-39739	-127.88
0.036364	-39745	-136.22
0.039745	-39721	-144.34
0.043339	-39271	-152.02
0.047156	-38789	-159.56
0.051201	-38710	-167.99
0.055484	-38283	-175.79
0.060011	-38090	-185.03
0.064790	-37911	-193.74
0.069830	-37429	-201.16
0.075138	-37018	-209.65
0.080722	-37069	-220.22
0.086591	-36726	-228.76
0.092751	-36373	-237.26
0.099213	-36105	-247.37
0.10598	-35371	-253.11
0.11307	-35277	-264.64
0.12048	-35201	-275.07
0.12823	-34793	-284.63
0.13631	-34810	-295.93
0.14475	-34391	-305.42
0.15355	-34303	-316.97
0.16271	-34045	-328.06
0.17226	-33959	-339.22
0.18218	-33866	-351.64
0.19250	-33581	-362.54
0.20322	-33550	-375.19
0.21436	-33424	-388.41
0.22591	-33355	-401.69
0.23789	-33323	-415.56
0.25031	-33150	-428.98
0.26318	-33047	-442.52
0.27650	-33034	-457.75
0.29029	-32997	-472.73
0.30455	-32858	-486.89
0.31930	-32798	-502.99
0.33454	-32847	-518.95
0.35028	-32800	-534.84
0.36653	-32760	-551.23
0.38330	-32670	-568.07
0.40060	-32680	-584.89
0.41844	-32642	-602.17
0.43683	-32621	-619.79
0.45578	-32650	-638.55
0.47530	-32571	-656.41
0.49539	-32596	-675.93
0.51608	-32577	-694.72
0.53735	-32536	-713.81
0.55924	-32514	-732.93
0.58174	-32514	-753.52
0.60487	-32452	-772.96
0.62863	-32470	-794.09
0.65304	-32436	-814.60
0.67811	-32443	-836.19
0.70384	-32430	-857.83
0.73025	-32403	-879.41
0.75734	-32400	-901.60
0.78513	-32380	-924.15
0.81363	-32385	-947.27
0.84284	-32366	-970.54
0.87278	-32355	-993.93
0.90345	-32367	-1018.2
0.93488	-32345	-1042.1
0.96705	-32316	-1066.0
1.0000	-32317	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -33588.98828239339
